2026-04-29 23:52:16 | INFO     | __main__ | Pipeline started for input: 'minor dent on front door, just cosmetic, maybe 3000 to fix'
2026-04-29 23:52:16 | DEBUG    | pipeline.preprocess | Preprocessed: 'minor dent on front door, just cosmetic, maybe 3000 to fix' → 'minor dent on front door, just cosmetic, maybe 3000 to fix'
2026-04-29 23:52:16 | INFO     | __main__ | After preprocessing: 'minor dent on front door, just cosmetic, maybe 3000 to fix'
2026-04-29 23:52:16 | DEBUG    | pipeline.rules | Rule extracted cost=3000.0
2026-04-29 23:52:16 | INFO     | pipeline.rules | Rule-based extraction result: {'loss_type': None, 'estimated_cost': 3000.0, 'severity': 'low', 'summary': None}
2026-04-29 23:52:16 | INFO     | pipeline.llm | Calling Gemini API for LLM extraction...
2026-04-29 23:52:16 | ERROR    | pipeline.llm | Unexpected error in LLM extraction: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'loss_type' sourced from: llm
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'estimated_cost' sourced from: rules
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'severity' sourced from: rules
2026-04-29 23:52:16 | INFO     | pipeline.combine | Combined result: {'loss_type': None, 'estimated_cost': 3000.0, 'severity': 'low', 'summary': None}
2026-04-29 23:52:16 | WARNING  | pipeline.validate | Invalid loss_type '' → defaulting to 'unknown'
2026-04-29 23:52:16 | WARNING  | pipeline.validate | Missing or empty summary → using default.
2026-04-29 23:52:16 | INFO     | pipeline.validate | Validation complete: {'loss_type': 'unknown', 'estimated_cost': 3000.0, 'severity': 'low', 'summary': 'No summary available.'}
2026-04-29 23:52:16 | INFO     | __main__ | Pipeline completed in 0.283s. Output: {'loss_type': 'unknown', 'estimated_cost': 3000.0, 'severity': 'low', 'summary': 'No summary available.'}
2026-04-29 23:52:16 | INFO     | __main__ | Pipeline started for input: 'house fire started in kitchen, spread to two rooms, total loss'
2026-04-29 23:52:16 | DEBUG    | pipeline.preprocess | Preprocessed: 'house fire started in kitchen, spread to two rooms, total loss' → 'house fire started in kitchen, spread to two rooms, total loss'
2026-04-29 23:52:16 | INFO     | __main__ | After preprocessing: 'house fire started in kitchen, spread to two rooms, total loss'
2026-04-29 23:52:16 | DEBUG    | pipeline.rules | Rule matched loss_type='fire'
2026-04-29 23:52:16 | INFO     | pipeline.rules | Rule-based extraction result: {'loss_type': 'fire', 'estimated_cost': None, 'severity': 'high', 'summary': None}
2026-04-29 23:52:16 | INFO     | pipeline.llm | Calling Gemini API for LLM extraction...
2026-04-29 23:52:16 | ERROR    | pipeline.llm | Unexpected error in LLM extraction: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'loss_type' sourced from: rules
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'estimated_cost' sourced from: llm
2026-04-29 23:52:16 | DEBUG    | pipeline.combine | Field 'severity' sourced from: rules
2026-04-29 23:52:16 | INFO     | pipeline.combine | Combined result: {'loss_type': 'fire', 'estimated_cost': None, 'severity': 'high', 'summary': None}
2026-04-29 23:52:16 | WARNING  | pipeline.validate | Missing or empty summary → using default.
2026-04-29 23:52:16 | INFO     | pipeline.validate | Validation complete: {'loss_type': 'fire', 'estimated_cost': None, 'severity': 'high', 'summary': 'No summary available.'}
2026-04-29 23:52:16 | INFO     | __main__ | Pipeline completed in 0.464s. Output: {'loss_type': 'fire', 'estimated_cost': None, 'severity': 'high', 'summary': 'No summary available.'}
2026-04-29 23:58:20 | INFO     | __main__ | Pipeline started for input: 'car hit from behind, bumper broken, repair maybe 30k, happened last night'
2026-04-29 23:58:20 | DEBUG    | pipeline.preprocess | Preprocessed: 'car hit from behind, bumper broken, repair maybe 30k, happened last night' → 'car hit from behind, bumper broken, repair maybe 30000, happened last night'
2026-04-29 23:58:20 | DEBUG    | pipeline.rules | Rule matched loss_type='collision'
2026-04-29 23:58:20 | DEBUG    | pipeline.rules | Rule extracted cost=30000.0
2026-04-29 23:58:20 | INFO     | pipeline.rules | Rule-based extraction result: {'loss_type': 'collision', 'estimated_cost': 30000.0, 'severity': None, 'summary': None}
2026-04-29 23:58:21 | INFO     | pipeline.llm | Calling Gemini API for LLM extraction...
2026-04-29 23:58:21 | INFO     | google_genai.models | AFC is enabled with max remote calls: 10.
2026-04-29 23:58:21 | DEBUG    | httpcore.connection | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-04-29 23:58:21 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000019E442DFB60>
2026-04-29 23:58:21 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000019E441A5BE0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-04-29 23:58:21 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000019E44235F90>
2026-04-29 23:58:21 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-04-29 23:58:21 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-04-29 23:58:21 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-04-29 23:58:21 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-04-29 23:58:21 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
